SnotelDate,WaterCurrentAverage,WaterPctAverage,SnowCurrent,WaterCurrent,SnowMedian,SnowPctMedian,LocationID
20140502,0,0,124,504,0,0,Trinity
20140503,0,0,116,504,0,0,Trinity
20140504,0,0,108,504,0,0,Trinity
20140505,0,0,103,509,0,0,Trinity
20140506,0,0,94,509,0,0,Trinity
20140507,0,0,83,509,0,0,Trinity
20140508,0,0,73,509,0,0,Trinity
20140509,0,0,68,510,0,0,Trinity
20140510,0,0,60,510,0,0,Trinity
20140511,0,0,53,510,0,0,Trinity
20140512,0,0,43,510,0,0,Trinity
20140513,0,0,32,510,0,0,Trinity
20140514,0,0,19,510,0,0,Trinity
20140515,0,0,2,510,0,0,Trinity
20140516,0,0,0,510,0,0,Trinity
20140517,0,0,0,510,0,0,Trinity
20140518,0,0,0,510,0,0,Trinity
20140519,0,0,0,510,0,0,Trinity
20140520,0,0,0,510,0,0,Trinity
20140521,0,0,0,510,0,0,Trinity
20140522,0,0,0,510,0,0,Trinity
20140523,0,0,0,510,0,0,Trinity
20140524,0,0,0,510,0,0,Trinity
20140525,0,0,0,510,0,0,Trinity
20140526,0,0,0,510,0,0,Trinity
20140527,0,0,0,510,0,0,Trinity
20140528,0,0,0,510,0,0,Trinity
20140529,0,0,0,510,0,0,Trinity
20140530,0,0,0,510,0,0,Trinity
20140531,0,0,0,510,0,0,Trinity
20140601,0,0,0,510,0,0,Trinity
20140602,0,0,0,510,0,0,Trinity
20140603,0,0,0,510,0,0,Trinity
20140604,0,0,0,510,0,0,Trinity
20140605,0,0,0,510,0,0,Trinity
20140606,0,0,0,510,0,0,Trinity
20140607,0,0,0,510,0,0,Trinity
20140608,0,0,0,510,0,0,Trinity
20140609,0,0,0,510,0,0,Trinity
20140610,0,0,0,510,0,0,Trinity
20140611,0,0,0,511,0,0,Trinity
20140612,0,0,0,511,0,0,Trinity
20140613,0,0,0,511,0,0,Trinity
20140614,0,0,0,511,0,0,Trinity
20140615,0,0,0,511,0,0,Trinity
20140616,0,0,0,511,0,0,Trinity
20140617,0,0,0,511,0,0,Trinity
20140618,0,0,0,511,0,0,Trinity
20140619,0,0,0,511,0,0,Trinity
20140620,0,0,0,511,0,0,Trinity
20140621,0,0,0,511,0,0,Trinity
20140622,0,0,0,511,0,0,Trinity
20140623,0,0,0,511,0,0,Trinity
20140624,0,0,0,511,0,0,Trinity
20140625,0,0,0,511,0,0,Trinity
20140626,0,0,0,511,0,0,Trinity
20140627,0,0,0,511,0,0,Trinity
20140628,0,0,0,511,0,0,Trinity
20140629,0,0,0,511,0,0,Trinity
20140630,0,0,0,511,0,0,Trinity
20140701,0,0,0,511,0,0,Trinity
20140702,0,0,0,511,0,0,Trinity
20140703,0,0,0,511,0,0,Trinity
20140704,0,0,0,511,0,0,Trinity
20140705,0,0,0,511,0,0,Trinity
20140706,0,0,0,511,0,0,Trinity
20140707,0,0,0,511,0,0,Trinity
20140708,0,0,0,511,0,0,Trinity
20140709,0,0,0,511,0,0,Trinity
20140710,0,0,0,511,0,0,Trinity
20140711,0,0,0,511,0,0,Trinity
20140712,0,0,0,511,0,0,Trinity
20140713,0,0,0,511,0,0,Trinity
20140714,0,0,0,511,0,0,Trinity
20140715,0,0,0,511,0,0,Trinity
20140716,0,0,0,511,0,0,Trinity
20140717,0,0,0,511,0,0,Trinity
20140718,0,0,0,511,0,0,Trinity
20140719,0,0,0,511,0,0,Trinity
20140720,0,0,0,511,0,0,Trinity
20140721,0,0,0,511,0,0,Trinity
20140722,0,0,0,511,0,0,Trinity
20140723,0,0,0,513,0,0,Trinity
20140724,0,0,0,517,0,0,Trinity
20140725,0,0,0,517,0,0,Trinity
20140726,0,0,0,517,0,0,Trinity
20140727,0,0,0,517,0,0,Trinity
20140728,0,0,0,517,0,0,Trinity
20140729,0,0,0,517,0,0,Trinity
20140730,0,0,0,517,0,0,Trinity
20140731,0,0,0,517,0,0,Trinity
20140801,0,0,0,517,0,0,Trinity
20140802,0,0,0,517,0,0,Trinity
20140803,0,0,0,517,0,0,Trinity
20140804,0,0,0,517,0,0,Trinity
20140805,0,0,0,517,0,0,Trinity
20140806,0,0,0,517,0,0,Trinity
20140807,0,0,0,517,0,0,Trinity
20140808,0,0,0,517,0,0,Trinity
20140809,0,0,0,517,0,0,Trinity
20140810,0,0,0,517,0,0,Trinity
20140811,0,0,0,517,0,0,Trinity
20140812,0,0,0,517,0,0,Trinity
20140813,0,0,0,519,0,0,Trinity
20140814,0,0,0,525,0,0,Trinity
20140815,0,0,0,534,0,0,Trinity
20140816,0,0,0,534,0,0,Trinity
20140817,0,0,0,534,0,0,Trinity
20140818,0,0,0,534,0,0,Trinity
20140819,0,0,0,534,0,0,Trinity
20140820,0,0,0,534,0,0,Trinity
20140821,0,0,0,534,0,0,Trinity
20140822,0,0,0,534,0,0,Trinity
20140823,0,0,0,536,0,0,Trinity
20140824,0,0,0,536,0,0,Trinity
20140825,0,0,0,536,0,0,Trinity
20140826,0,0,0,536,0,0,Trinity
20140827,0,0,0,536,0,0,Trinity
20140828,0,0,0,536,0,0,Trinity
20140829,0,0,0,536,0,0,Trinity
20140830,0,0,0,536,0,0,Trinity
20140831,0,0,0,539,0,0,Trinity
20140901,0,0,0,539,0,0,Trinity
20140902,0,0,0,539,0,0,Trinity
20140903,0,0,0,542,0,0,Trinity
20140904,0,0,0,542,0,0,Trinity
20140905,0,0,0,542,0,0,Trinity
20140906,0,0,0,542,0,0,Trinity
20140907,0,0,0,542,0,0,Trinity
20140908,0,0,0,542,0,0,Trinity
20140909,0,0,0,542,0,0,Trinity
20140910,0,0,0,542,0,0,Trinity
20140911,0,0,0,542,0,0,Trinity
20140912,0,0,0,542,0,0,Trinity
20140913,0,0,0,542,0,0,Trinity
20140914,0,0,0,542,0,0,Trinity
20140915,0,0,0,542,0,0,Trinity
20140916,0,0,0,542,0,0,Trinity
20140917,0,0,0,542,0,0,Trinity
20140918,0,0,0,542,0,0,Trinity
20140919,0,0,0,542,0,0,Trinity
20140920,0,0,0,542,0,0,Trinity
20140921,0,0,0,542,0,0,Trinity
20140922,0,0,0,542,0,0,Trinity
20140923,0,0,0,542,0,0,Trinity
20140924,0,0,0,543,0,0,Trinity
20140925,0,0,0,552,0,0,Trinity
20140926,0,0,0,556,0,0,Trinity
20140927,0,0,0,557,0,0,Trinity
20140928,0,0,0,557,0,0,Trinity
20140929,0,0,0,557,0,0,Trinity
20140930,0,0,0,557,0,0,Trinity
20141001,0,0,0,558,0,0,Trinity
20141002,0,0,0,0,0,0,Trinity
20141003,0,0,0,0,0,0,Trinity
20141004,0,0,0,0,0,0,Trinity
20141005,0,0,0,0,0,0,Trinity
20141006,0,0,0,0,0,0,Trinity
20141007,0,0,0,0,0,0,Trinity
20141008,0,0,0,0,0,0,Trinity
20141009,0,0,0,0,0,0,Trinity
20141010,0,0,0,0,0,0,Trinity
20141011,0,0,0,0,0,0,Trinity
20141012,0,0,0,9,0,0,Trinity
20141013,0,0,0,10,0,0,Trinity
20141014,0,0,0,10,0,0,Trinity
20141015,0,0,0,12,0,0,Trinity
20141016,0,0,0,17,0,0,Trinity
20141017,0,0,0,17,0,0,Trinity
20141018,0,0,0,24,0,0,Trinity
20141019,0,0,0,29,0,0,Trinity
20141020,0,0,0,29,0,0,Trinity
20141021,0,0,0,33,0,0,Trinity
20141022,0,0,0,35,0,0,Trinity
20141023,0,0,0,57,0,0,Trinity
20141024,0,0,0,65,0,0,Trinity
20141025,0,0,0,67,0,0,Trinity
20141026,0,0,0,79,0,0,Trinity
20141027,0,0,0,83,0,0,Trinity
20141028,0,0,0,83,0,0,Trinity
20141029,0,0,0,97,0,0,Trinity
20141030,0,0,0,98,0,0,Trinity
20141031,0,0,0,109,0,0,Trinity
20141101,0,0,0,114,0,0,Trinity
20141102,0,0,0,114,0,0,Trinity
20141103,0,0,0,114,0,0,Trinity
20141104,0,0,0,119,0,0,Trinity
20141105,0,0,0,128,0,0,Trinity
20141106,0,0,0,133,0,0,Trinity
20141107,0,0,0,143,0,0,Trinity
20141108,0,0,0,146,0,0,Trinity
20141109,0,0,0,146,0,0,Trinity
20141110,0,0,0,152,0,0,Trinity
20141111,0,0,1,154,0,0,Trinity
20141112,0,0,2,155,0,0,Trinity
20141113,0,0,4,156,0,0,Trinity
20141114,0,0,5,156,0,0,Trinity
20141115,0,0,5,156,0,0,Trinity
20141116,0,0,5,156,0,0,Trinity
20141117,0,0,5,156,0,0,Trinity
20141118,0,0,5,156,0,0,Trinity
20141119,0,0,6,156,0,0,Trinity
20141120,0,0,6,156,0,0,Trinity
20141121,0,0,7,156,0,0,Trinity
20141122,0,0,26,170,0,0,Trinity
20141123,0,0,32,180,0,0,Trinity
20141124,0,0,45,193,0,0,Trinity
20141125,0,0,47,196,0,0,Trinity
20141126,0,0,61,226,0,0,Trinity
20141127,0,0,61,231,0,0,Trinity
20141128,0,0,61,247,0,0,Trinity
20141129,0,0,58,273,0,0,Trinity
20141130,0,0,59,275,0,0,Trinity
20141201,0,0,60,275,0,0,Trinity
20141202,0,0,58,275,0,0,Trinity
20141203,0,0,60,275,0,0,Trinity
20141204,0,0,59,275,0,0,Trinity
20141205,0,0,61,275,0,0,Trinity
20141206,0,0,63,277,0,0,Trinity
20141207,0,0,66,280,0,0,Trinity
20141208,0,0,66,280,0,0,Trinity
20141209,0,0,67,281,0,0,Trinity
20141210,0,0,67,297,0,0,Trinity
20141211,0,0,68,306,0,0,Trinity
20141212,0,0,69,311,0,0,Trinity
20141213,0,0,68,313,0,0,Trinity
20141214,0,0,70,313,0,0,Trinity
20141215,0,0,68,313,0,0,Trinity
20141216,0,0,69,313,0,0,Trinity
20141217,0,0,70,314,0,0,Trinity
20141218,0,0,72,317,0,0,Trinity
20141219,0,0,79,322,0,0,Trinity
20141220,0,0,81,326,0,0,Trinity
20141221,0,0,100,343,0,0,Trinity
20141222,0,0,102,357,0,0,Trinity
20141223,0,0,102,357,0,0,Trinity
20141224,0,0,103,361,0,0,Trinity
20141225,0,0,102,362,0,0,Trinity
20141226,0,0,101,362,0,0,Trinity
20141227,0,0,97,363,0,0,Trinity
20141228,0,0,106,369,0,0,Trinity
20141229,0,0,108,372,0,0,Trinity
20141230,0,0,107,373,0,0,Trinity
20141231,0,0,107,373,0,0,Trinity
